Freq ,Bandwidth,Error_Band
3.030E6,3.055E6,29.50E3
3.040E6,3.627E6,591.4E3
3.050E6,3.627E6,581.5E3
3.060E6,3.627E6,571.5E3
3.070E6,3.627E6,561.5E3
3.080E6,3.627E6,551.5E3
3.090E6,3.627E6,541.5E3
3.100E6,3.627E6,531.5E3
3.110E6,3.627E6,521.5E3
3.120E6,3.627E6,511.6E3
3.130E6,3.627E6,501.6E3
3.140E6,3.627E6,491.6E3
3.150E6,3.627E6,481.6E3
3.160E6,3.627E6,471.6E3
3.170E6,3.627E6,461.6E3
3.180E6,3.627E6,451.6E3
3.190E6,3.627E6,441.7E3
3.200E6,3.627E6,431.7E3
3.210E6,3.627E6,421.7E3
3.220E6,3.627E6,411.7E3
3.230E6,3.627E6,401.7E3
3.240E6,3.627E6,391.7E3
3.250E6,3.627E6,381.7E3
3.260E6,3.627E6,371.8E3
3.270E6,3.627E6,361.8E3
3.280E6,3.627E6,351.8E3
3.290E6,3.627E6,341.8E3
3.300E6,3.627E6,331.8E3
