freq (Hz),v /OUT; ac dB20(V) (dB),v /OUT; ac dB20(V) (dB),Loop Gain dB20 (dB)
63.10E6,-4.346,-4.590,-31.13
70.79E6,-5.560,-5.794,-32.33
79.43E6,-6.817,-7.040,-33.56
89.13E6,-8.121,-8.333,-34.84
100.0E6,-9.478,-9.677,-36.16
112.2E6,-10.89,-11.08,-37.54
125.9E6,-12.37,-12.54,-38.97
141.3E6,-13.91,-14.07,-40.46
158.5E6,-15.51,-15.66,-42.02
177.8E6,-17.18,-17.32,-43.63
199.5E6,-18.91,-19.04,-45.29
223.9E6,-20.71,-20.83,-47.02
251.2E6,-22.57,-22.68,-48.79
281.8E6,-24.48,-24.59,-50.61
316.2E6,-26.46,-26.56,-52.48
354.8E6,-28.48,-28.58,-54.39
398.1E6,-30.56,-30.67,-56.34
446.7E6,-32.68,-32.80,-58.32
501.2E6,-34.85,-34.97,-60.35
562.3E6,-37.04,-37.18,-62.41
631.0E6,-39.25,-39.42,-64.52
707.9E6,-41.46,-41.65,-66.67
794.3E6,-43.63,-43.85,-68.86
891.3E6,-45.73,-45.99,-71.10
1.000E9,-47.75,-48.04,-73.39
1.122E9,-49.66,-49.99,-75.72
1.259E9,-51.45,-51.82,-78.10
1.413E9,-53.14,-53.53,-80.53
1.585E9,-54.72,-55.15,-82.99
1.778E9,-56.23,-56.68,-85.48
1.995E9,-57.67,-58.14,-88.00
2.239E9,-59.06,-59.55,-90.53
2.512E9,-60.40,-60.90,-93.06
2.818E9,-61.69,-62.21,-95.59
3.162E9,-62.94,-63.47,-98.10
3.548E9,-64.16,-64.69,-100.5
3.981E9,-65.33,-65.86,-102.9
4.467E9,-66.46,-66.98,-105.0
5.012E9,-67.56,-68.06,-106.9
5.623E9,-68.61,-69.10,-108.3
6.310E9,-69.63,-70.09,-109.3
7.079E9,-70.62,-71.03,-109.8
7.943E9,-71.56,-71.93,-110.1
8.913E9,-72.46,-72.77,-110.2
10.00E9,-73.32,-73.56,-110.2
